Cycle 	Algorithm (optimal length) 	Case Name
(URB BRD BDL) 	U' L U R' U' L' U R (8 HTM) 	Drop and Catch
(URB BRD LUB) 	U' L' U R' U' L U R (8 HTM) 	Direct Insert
(URB BRD LFU) 	R D L2 D' R' D L2 D' (8 HTM) 	Drop and Catch
(URB BRD LBD) 	R B' L' B R' B' L B (8 HTM) 	Direct Insert
(URB BRD LDF) 	B L2 B' R' B L2 B' R (8 HTM) 	Drop and Catch
(URB BRD DFL) 	U' L2 U R' U' L2 U R (8 HTM) 	Drop and Catch
(URB BRD DRF) 	D' F D' B2 D F' D' B2 D2 (9 HTM) 	A9
(URB BRD DLB) 	L' D2 L' U2 L D2 L' U2 L2 (9 HTM) 	A9
(URB BDL UBL) 	L B' R' B L' B' R B (8 HTM) 	Direct Insert
(URB BDL ULF) 	F' D F U2 F' D' F U2 (8 HTM) 	Drop and Catch
(URB BDL UFR) 	R' D2 R U R' D2 R U' (8 HTM) 	Drop and Catch
(URB BDL FUL) 	L2 F R' F' L2 F R F' (8 HTM) 	Drop and Catch
(URB BDL FRU) 	R U' L U R' U' L' U (8 HTM) 	Drop and Catch
(URB BDL FLD) 	F L2 F R' F' L2 F R F2 (9 HTM) 	A9
(URB BDL FDR) 	L U' L' D2 L U L' D2 (8 HTM) 	Toss Up
(URB BDL RUF) 	F2 D F U2 F' D' F U2 F (9 HTM) 	A9
(URB BDL RFD) 	U F' R B2 R' F R B2 R' U' (10 HTM) 	Orthogonals
(URB BDL RDB) 	D' R' U' R D R' U R (8 HTM) 	Direct Insert
(URB BDL BLU) 	L2 F' L B2 L' F L B2 L (9 HTM) 	A9
(URB BDL BRD) 	R' U' L U R U' L' U (8 HTM) 	Drop and Catch
(URB BDL LUB) 	U B2 U F U' B2 U F' U2 (9 HTM) 	A9
(URB BDL LFU) 	U L' F2 L B L' F2 L B' U' (10 HTM) 	Orthogonals
(URB BDL LDF) 	D F U2 F' D' F U2 F' (8 HTM) 	Toss Up
(URB BDL DFL) 	L' D R2 D' L D R2 D' (8 HTM) 	Drop and Catch
(URB BDL DRF) 	R2 U' L U R2 U' L' U (8 HTM) 	Drop and Catch
(URB BDL DBR) 	L U' B2 U L' U' L B2 L' U (10 HTM) 	Cyclic Shift
(URB LUB ULF) 	F' L2 F' R2 F L2 F' R2 F2 (9 HTM) 	A9
(URB LUB UFR) 	R' F' R B' R' F R B (8 HTM) 	Direct Insert
(URB LUB FUL) 	R' F R B' R' F' R B (8 HTM) 	Toss Up
(URB LUB FRU) 	U F U' B' U F' U' B (8 HTM) 	Direct Insert
(URB LUB FLD) 	R' F2 R B' R' F2 R B (8 HTM) 	Drop and Catch
(URB LUB FDR) 	B U' F2 U B' U' F2 U (8 HTM) 	Drop and Catch
(URB LUB RUF) 	F2 L2 F' R2 F L2 F' R2 F' (9 HTM) 	A9
(URB LUB RFD) 	U F' U' B' U F U' B (8 HTM) 	Drop and Catch
(URB LUB RDB) 	U' L U' R2 U L' U' R2 U2 (9 HTM) 	A9
(URB LUB BRD) 	R' U' L' U R U' L U (8 HTM) 	Direct Insert
(URB LUB BDL) 	U2 F U' B2 U F' U' B2 U' (9 HTM) 	A9
(URB LUB LFU) 	U R U' L' U R' U' L (8 HTM) 	Direct Insert
(URB LUB LBD) 	U R U' L U R' U' L' (8 HTM) 	Direct Insert
(URB LUB LDF) 	U R U' L2 U R' U' L2 (8 HTM) 	Direct Insert
(URB LUB DFL) 	U F2 U' B' U F2 U' B (8 HTM) 	Drop and Catch
(URB LUB DRF) 	R2 U' L' U R2 U' L U (8 HTM) 	Direct Insert
(URB LUB DLB) 	U2 L2 U' R' U L2 U' R U' (9 HTM) 	A9
(URB LUB DBR) 	U' B2 U' F' U B2 U' F U2 (9 HTM) 	A9
(URB LFU UBL) 	B' U2 B' D' B U2 B' D B2 (9 HTM) 	A9
(URB LFU UFR) 	F R B R' F' R B' R' (8 HTM) 	Direct Insert
(URB LFU FRU) 	R B L' B' R' B L B' (8 HTM) 	Drop and Catch
(URB LFU FLD) 	D' L2 D' R D L2 D' R' D2 (9 HTM) 	A9
(URB LFU FDR) 	U F L2 F' R' F L2 F' R U' (10 HTM) 	Orthogonals
(URB LFU RUF) 	L' B U2 B' L B L' U2 L B' (10 HTM) 	Cyclic Shift
(URB LFU RFD) 	L' B L F2 L' B' L F2 (8 HTM) 	Drop and Catch
